Strategy,Asset,Timeframe,Net_Profit_USD,ROI_Percent,ROI,ROI_Annual_Percent,ROI_Per_Day_Pct,Win_Rate_Percent,Profit_Factor,Sharpe_Ratio,Max_Drawdown_USD,Max_Drawdown_Percent,Gross_Drawdown_USD,Gross_Drawdown_Percent,Net_Drawdown_USD,Net_Drawdown_Percent,Current_Drawdown_USD,Current_Drawdown_Percent,Performance_Grade,Deployment_Status,Rank,Initial_Capital_USD,Final_Capital_USD,Time_period_checked,Time_start,time_end,fees_exchnage,Total_Trades,Data_Source
Williams %R BINANCEUSDT 2026-04-03,LDO,4h,75884.9,758.85,7.5885,75.46,0.2067,81.82,8.69,2.95,-1052.44,-1.62,-9866.08,-11.49,0,0,0,0,PROMISING,TIER_2,87,10000,85884.9,1397_days,06-06-2022,03-04-2026,0.06%,198,tv_backtester_jan_2024
Momentum V2 BINANCEUSDT 2026-04-03,LDO,4h,74080.36,740.8,7.408,74.35,0.2037,82.38,7.09,2.6,-1659.92,-3.08,-12163.28,-14.47,0,0,0,0,PROMISING,TIER_2,89,10000,84080.36,1399_days,28-05-2022,28-03-2026,0.06%,193,tv_backtester_jan_2024
Aroon Trend BINANCEUSDT.P 2026-04-03,DOT,4h,207387.42,2073.87,20.7387,74.12,0.2031,80.77,8.36,3.15,-6196.61,-2.77,-28190.34,-12.61,0,0,-6196.61,-2.77,PROMISING,TIER_2,52,10000,217387.42,2028_days,12-09-2020,02-04-2026,0.06%,338,tv_backtester_jan_2024
Aroon Trend BINANCEUSDT 2026-04-03,ETH,4h,1092880.38,10928.8,109.288,73.12,0.2003,81.59,10.71,2.26,-13319.69,-1.66,-112578.07,-10.21,-161.34,-1.61,0,0,PROMISING,TIER_2,30,10000,1102880.38,3130_days,07-09-2017,03-04-2026,0.06%,516,tv_backtester_jan_2024
PSAR Trend BINANCEUSDT 2026-04-03,ETH,4h,994239.02,9942.39,99.4239,71.33,0.1954,82.91,10.46,2.43,-13926.12,-1.61,-105109.13,-10.47,0,0,0,0,PROMISING,TIER_2,32,10000,1004239.02,3127_days,08-09-2017,02-04-2026,0.06%,468,tv_backtester_jan_2024
Momentum V2 BINANCEUSDT 2026-04-03,DOT,4h,182797.8,1827.98,18.2798,70.26,0.1925,79.64,12.66,3.28,-6290.61,-3.16,-15674.4,-7.87,-159.69,-1.6,-6290.61,-3.16,PROMISING,TIER_2,57,10000,192797.8,2031_days,08-09-2020,02-04-2026,0.06%,280,tv_backtester_jan_2024
Williams %R BINANCEUSDT 2026-04-03,DOT,4h,172195.16,1721.95,17.2195,69.19,0.1896,78.82,8.44,2.38,-6386.44,-3.39,-23144.58,-12.27,-117.79,-1.18,-6386.44,-3.39,PROMISING,TIER_2,61,10000,182195.16,2016_days,09-09-2020,19-03-2026,0.06%,321,tv_backtester_jan_2024
Breakout Retest BINANCEUSDT.P 2026-04-03,LDO,4h,50206.64,502.07,5.0207,68.76,0.1884,74.4,7.69,2.79,-957.65,-1.63,-7508.93,-12.47,-119.76,-1.2,0,0,PROMISING,TIER_2,103,10000,60206.64,1253_days,19-10-2022,25-03-2026,0.06%,168,tv_backtester_jan_2024
Momentum V2 BINANCEUSDT.P 2026-04-03,DOT,4h,162077.65,1620.78,16.2078,66.94,0.1834,79.06,10.46,3.13,-8504.74,-4.71,-17129.73,-9.49,0,0,-8504.74,-4.71,PROMISING,TIER_2,62,10000,172077.65,2028_days,11-09-2020,02-04-2026,0.06%,277,tv_backtester_jan_2024
TRIX Signal BINANCEUSDT 2026-04-03,LDO,4h,59814.91,598.15,5.9815,66.27,0.1816,85.37,17.28,2.39,-977.41,-1.64,-3673.1,-5.26,0,0,0,0,PROMISING,TIER_2,94,10000,69814.91,1396_days,01-06-2022,28-03-2026,0.06%,123,tv_backtester_jan_2024
ADX DI Cross BINANCEUSDT 2026-04-03,LDO,4h,58374.08,583.74,5.8374,65.78,0.1802,81.46,6.54,2.71,-973.84,-1.61,-10539,-15.41,-128.4,-1.28,0,0,PROMISING,TIER_2,97,10000,68374.08,1389_days,07-06-2022,28-03-2026,0.06%,178,tv_backtester_jan_2024
