Rank,Strategy,Asset,Timeframe,Initial_Capital_USD,Final_Capital_USD,Net_Profit_USD,roi,ROI/annum,ROI_per_annum_Percent,Total_Trades,Winning_Trades,Losing_Trades,Win_Rate_Percent,Profit_Factor,Sharpe_Ratio,Avg_Trade_Percent,Max_Drawdown,Performance_Grade,Deployment_Status,Data_Source,Time_period_checked,Time_start,time_end,fees_exchnage,Parameters,Candle_Period
277,Breakout_Volume_Confirm,BTCUSDT,15m,10000,8793.3,-1206.7,-12.07,-1206.7,-1206.7,38,6,32,15.79,0.86,6.57,-0.13,42.41,C,Inactive,Historical_Parquet,365 days,2025-03-16,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.018, TP:0.1, TS:0.018",15m
278,Volume_Profile_Breakout,BTCUSDT,15m,10000,8793.3,-1206.7,-12.07,-1206.7,-1206.7,38,6,32,15.79,0.86,6.57,-0.13,42.41,C,Inactive,Historical_Parquet,365 days,2025-03-16,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.018, TP:0.1, TS:0.018",15m
279,Breakout_Success,BTCUSDT,15m,10000,8793.3,-1206.7,-12.07,-1206.7,-1206.7,38,6,32,15.79,0.86,6.57,-0.13,42.41,C,Inactive,Historical_Parquet,365 days,2025-03-16,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.018, TP:0.1, TS:0.018",15m
280,Volume_Confirm,BTCUSDT,15m,10000,8793.3,-1206.7,-12.07,-1206.7,-1206.7,38,6,32,15.79,0.86,6.57,-0.13,42.41,C,Inactive,Historical_Parquet,365 days,2025-03-16,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.018, TP:0.1, TS:0.018",15m
281,ADX_Breakout_Pro,BTCUSDT,15m,10000,8793.3,-1206.7,-12.07,-1206.7,-1206.7,38,6,32,15.79,0.86,6.57,-0.13,42.41,C,Inactive,Historical_Parquet,365 days,2025-03-16,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.018, TP:0.1, TS:0.018",15m
282,RSI_Stochastic_VWAP_ADX,BTCUSDT,1h,10000,8791.34,-1208.66,-12.09,-1208.66,-1208.66,72,11,61,15.28,0.89,4.06,-0.09,39.74,C,Inactive,Historical_Parquet,364 days,2025-03-16,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",1h
283,Breakout_Stochastic,BTCUSDT,1h,10000,8782.42,-1217.58,-12.18,-1217.58,-1217.58,68,12,56,17.65,0.91,4.87,-0.07,48.06,C,Inactive,Historical_Parquet,364 days,2025-03-16,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.018, TP:0.1, TS:0.018",1h
284,Breakout_Volume_ADX,BTCUSDT,1h,10000,8780.92,-1219.08,-12.19,-1219.08,-1219.08,54,9,45,16.67,0.9,5.59,-0.09,45.1,C,Inactive,Historical_Parquet,364 days,2025-03-16,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.02, TP:0.12, TS:0.02",1h
285,Supertrend_Reversal,BTCUSDT,1h,10000,8774.15,-1225.85,-12.26,-1225.85,-1225.85,204,33,171,16.18,0.95,2.95,-0.01,47.01,C,Inactive,Historical_Parquet,364 days,2025-03-16,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.008, TP:0.06, TS:0.008",1h
286,EMA_RSI_MACD_ADX,BTCUSDT,4h,10000,8769.42,-1230.58,-12.31,-1230.58,-1230.58,66,13,53,19.7,0.91,4.93,-0.08,32.77,C,Inactive,Historical_Parquet,364 days,2025-03-16,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",4h
