Rank,Strategy,Asset,Timeframe,Initial_Capital_USD,Final_Capital_USD,Net_Profit_USD,roi,ROI/annum,ROI_per_annum_Percent,Total_Trades,Winning_Trades,Losing_Trades,Win_Rate_Percent,Profit_Factor,Sharpe_Ratio,Avg_Trade_Percent,Performance_Grade,Deployment_Status,Data_Source,Time_period_checked,Time_start,time_end,fees_exchnage,Parameters,Candle_Period
922,EMA_Rainbow_Stack,ETHUSDT,15m,10000,10614.67,614.67,6.15,6.15,6.15,115,19,96,16.52,1.02,7.76,0.41,C,Active,Historical_Parquet,365 days,16-03-2025,16-03-2026,0.10%,"SL:0.012, TP:0.08, TS:0.012",15m
923,Low_Risk_Trade,SOLUSDT,15m,10000,10609.9,609.9,6.1,6.1,6.1,28,6,22,21.43,1.32,2.21,0.35,C,Active,Historical_Parquet,10 days,07-03-2026,18-03-2026,0.10%,"SL:0.005, TP:0.04, TS:0.005",15m
924,Breakout_Hunter,BNBUSDT,15m,10000,10609.83,609.83,6.1,6.1,6.1,50,11,39,22,1.04,8.09,0.53,C,Active,Historical_Parquet,365 days,16-03-2025,16-03-2026,0.10%,"SL:0.018, TP:0.1, TS:0.018",15m
925,RSI_Extreme_Play,SOLUSDT,15m,10000,10602.53,602.53,6.03,6.03,6.03,24,4,20,16.67,1.38,2.46,0.39,C,Active,Historical_Parquet,10 days,07-03-2026,18-03-2026,0.10%,"SL:0.005, TP:0.05, TS:0.005",15m
926,ADX_Trend_Strength,ETHUSDT,15m,10000,10602.47,602.47,6.02,6.02,6.02,122,19,103,15.57,1.02,7.55,0.39,C,Active,Historical_Parquet,365 days,16-03-2025,16-03-2026,0.10%,"SL:0.012, TP:0.08, TS:0.012",15m
927,Stochastic_KD_Cross,BNBUSDT,4h,10000,10597.07,597.07,5.97,5.97,5.97,157,35,122,22.29,1.02,3.64,0.2,C,Active,Historical_Parquet,364 days,16-03-2025,16-03-2026,0.10%,"SL:0.008, TP:0.06, TS:0.008",4h
928,ADX_BB_MACD,BNBUSDT,15m,10000,10593.3,593.3,5.93,5.93,5.93,85,16,69,18.82,1.03,6.32,0.36,C,Active,Historical_Parquet,365 days,16-03-2025,16-03-2026,0.10%,"SL:0.012, TP:0.08, TS:0.012",15m
929,RSI_Extreme_Play,XRPUSDT,1h,10000,10591.45,591.45,5.91,5.91,5.91,78,15,63,19.23,1.09,2.72,0.21,C,Active,Historical_Parquet,41 days,04-02-2026,18-03-2026,0.10%,"SL:0.005, TP:0.05, TS:0.005",1h
930,Trend_Acceleration,BNBUSDT,15m,10000,10588.78,588.78,5.89,5.89,5.89,51,11,40,21.57,1.04,7.97,0.51,C,Active,Historical_Parquet,365 days,16-03-2025,16-03-2026,0.10%,"SL:0.018, TP:0.1, TS:0.018",15m
931,Breakout_Retest,BTCUSDT,4h,10000,10589.46,589.46,5.89,5.89,5.89,76,16,60,21.05,1.05,3.66,0.24,C,Active,Historical_Parquet,364 days,16-03-2025,16-03-2026,0.10%,"SL:0.008, TP:0.06, TS:0.008",4h
932,VWAP_Break_Pro,ETHUSDT,1h,10000,10587.48,587.48,5.87,5.87,5.87,166,34,132,20.48,1.01,4.92,0.25,C,Active,Historical_Parquet,364 days,16-03-2025,16-03-2026,0.10%,"SL:0.015, TP:0.09, TS:0.015",1h
933,BB_Stochastic_VWAP,XRPUSDT,15m,10000,10585.41,585.41,5.85,5.85,5.85,15,3,12,20,1.4,3.44,0.55,C,Active,Historical_Parquet,10 days,07-03-2026,18-03-2026,0.10%,"SL:0.01, TP:0.07, TS:0.01",15m
934,Breakout_Momentum,BNBUSDT,1h,10000,10585.17,585.17,5.85,5.85,5.85,68,13,55,19.12,1.04,5.91,0.34,C,Active,Historical_Parquet,364 days,16-03-2025,16-03-2026,0.10%,"SL:0.02, TP:0.12, TS:0.02",1h
935,EMA_BB_Stochastic,XRPUSDT,15m,10000,10585.41,585.41,5.85,5.85,5.85,15,3,12,20,1.4,3.44,0.55,C,Active,Historical_Parquet,10 days,07-03-2026,18-03-2026,0.10%,"SL:0.01, TP:0.07, TS:0.01",15m
936,Quick_Profit,ETHUSDT,4h,10000,10584.32,584.32,5.84,5.84,5.84,134,40,94,29.85,1.03,3.28,0.2,C,Active,Historical_Parquet,364 days,16-03-2025,16-03-2026,0.10%,"SL:0.005, TP:0.035, TS:0.005",4h
937,EMA_BB_ADX,BNBUSDT,1h,10000,10583.08,583.08,5.83,5.83,5.83,124,25,99,20.16,1.02,4.72,0.25,C,Active,Historical_Parquet,364 days,16-03-2025,16-03-2026,0.10%,"SL:0.015, TP:0.09, TS:0.015",1h
938,Volume_Confirm,BNBUSDT,4h,10000,10579.76,579.76,5.8,5.8,5.8,74,18,56,24.32,1.02,6.42,0.37,C,Active,Historical_Parquet,364 days,16-03-2025,16-03-2026,0.10%,"SL:0.018, TP:0.1, TS:0.018",4h
939,Volume_Profile_Breakout,BNBUSDT,4h,10000,10579.76,579.76,5.8,5.8,5.8,74,18,56,24.32,1.02,6.42,0.37,C,Active,Historical_Parquet,364 days,16-03-2025,16-03-2026,0.10%,"SL:0.018, TP:0.1, TS:0.018",4h
940,Breakout_Success,BNBUSDT,4h,10000,10579.76,579.76,5.8,5.8,5.8,74,18,56,24.32,1.02,6.42,0.37,C,Active,Historical_Parquet,364 days,16-03-2025,16-03-2026,0.10%,"SL:0.018, TP:0.1, TS:0.018",4h
941,ADX_Breakout_Pro,BNBUSDT,4h,10000,10579.76,579.76,5.8,5.8,5.8,74,18,56,24.32,1.02,6.42,0.37,C,Active,Historical_Parquet,364 days,16-03-2025,16-03-2026,0.10%,"SL:0.018, TP:0.1, TS:0.018",4h
942,Breakout_Volume_Confirm,BNBUSDT,4h,10000,10579.76,579.76,5.8,5.8,5.8,74,18,56,24.32,1.02,6.42,0.37,C,Active,Historical_Parquet,364 days,16-03-2025,16-03-2026,0.10%,"SL:0.018, TP:0.1, TS:0.018",4h
943,RSI_Stochastic_VWAP_ADX,BNBUSDT,1h,10000,10577.03,577.03,5.77,5.77,5.77,78,16,62,20.51,1.03,4.72,0.28,C,Active,Historical_Parquet,364 days,16-03-2025,16-03-2026,0.10%,"SL:0.015, TP:0.09, TS:0.015",1h
