Rank,Strategy,Asset,Timeframe,Initial_Capital_USD,Final_Capital_USD,Net_Profit_USD,roi,ROI/annum,ROI_per_annum_Percent,Total_Trades,Winning_Trades,Losing_Trades,Win_Rate_Percent,Profit_Factor,Sharpe_Ratio,Avg_Trade_Percent,Max_Drawdown,Performance_Grade,Deployment_Status,Data_Source,Time_period_checked,Time_start,time_end,fees_exchnage,Parameters,Candle_Period
595,VWAP_Trend_Follow,ADAUSDT,4h,10000,6115.17,-3884.83,-38.85,-38.85,-38.85,170,56,114,32.94,0.78,3.47,-0.23,51.85,C,Inactive,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.012, TP:0.08, TS:0.012",4h
596,Breakout_Momentum,ADAUSDT,4h,10000,6071.3,-3928.7,-39.29,-39.29,-39.29,67,19,48,28.36,0.55,4.09,-0.68,53.75,C,Inactive,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.02, TP:0.12, TS:0.02",4h
597,VWAP_ADX_Strength,ADAUSDT,4h,10000,6065.35,-3934.65,-39.35,-39.35,-39.35,72,19,53,26.39,0.55,3.17,-0.66,47.39,C,Inactive,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",4h
598,ADX_Trend_Strength,ADAUSDT,4h,10000,6048.17,-3951.83,-39.52,-39.52,-39.52,171,57,114,33.33,0.78,3.46,-0.23,51.5,C,Inactive,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.012, TP:0.08, TS:0.012",4h
599,RSI_MACD_Combo,ADAUSDT,4h,10000,6005.68,-3994.32,-39.94,-39.94,-39.94,211,69,142,32.7,0.79,3.51,-0.18,50.54,C,Inactive,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.01, TP:0.07, TS:0.01",4h
600,Dual_Confirmation,ADAUSDT,4h,10000,6005.68,-3994.32,-39.94,-39.94,-39.94,211,69,142,32.7,0.79,3.51,-0.18,50.54,C,Inactive,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.01, TP:0.07, TS:0.01",4h
601,Supertrend_Reversal_Pro,ADAUSDT,4h,10000,6005.68,-3994.32,-39.94,-39.94,-39.94,211,69,142,32.7,0.79,3.51,-0.18,50.54,C,Inactive,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.01, TP:0.07, TS:0.01",4h
602,MACD_Histogram_Pro,ADAUSDT,4h,10000,6005.68,-3994.32,-39.94,-39.94,-39.94,211,69,142,32.7,0.79,3.51,-0.18,50.54,C,Inactive,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.01, TP:0.07, TS:0.01",4h
603,MACD_Supertrend_Combo,ADAUSDT,4h,10000,6005.68,-3994.32,-39.94,-39.94,-39.94,211,69,142,32.7,0.79,3.51,-0.18,50.54,C,Inactive,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.01, TP:0.07, TS:0.01",4h
604,Supertrend_Pro,ADAUSDT,4h,10000,5987.04,-4012.96,-40.13,-40.13,-40.13,211,68,143,32.23,0.79,3.51,-0.18,50.54,C,Inactive,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.01, TP:0.07, TS:0.01",4h
605,Supertrend_Momentum,ADAUSDT,4h,10000,5987.04,-4012.96,-40.13,-40.13,-40.13,211,68,143,32.23,0.79,3.51,-0.18,50.54,C,Inactive,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.01, TP:0.07, TS:0.01",4h
606,Supertrend_Cluster,ADAUSDT,4h,10000,5987.04,-4012.96,-40.13,-40.13,-40.13,211,68,143,32.23,0.79,3.51,-0.18,50.54,C,Inactive,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.01, TP:0.07, TS:0.01",4h
607,MACD_Zero_Cross,ADAUSDT,4h,10000,5987.04,-4012.96,-40.13,-40.13,-40.13,211,68,143,32.23,0.79,3.51,-0.18,50.54,C,Inactive,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.01, TP:0.07, TS:0.01",4h
