Rank,name,Strategy,Asset,Timeframe,Initial_Capital_USD,Final_Capital_USD,Net_Profit_USD,ROI_per_annum,ROI_Percent,Total_Trades,Winning_Trades,Losing_Trades,Win_Rate_Percent,Profit_Factor,Sharpe_Ratio,Avg_Trade_Percent,Gross_DD_Percent,Net_DD_Percent,Capital_At_Net_DD,Performance_Grade,Deployment_Status,Score,Data_Source,Time_Period,Time_Start,Time_End,Fees_Exchange,Candle_Period,Parameters
52,Volume_Profile_Breakout,"Volume_Spike, Breakout_20, ADX_Trend",BTCUSDT,4h,10000,40877.81,30877.81,25.41,308.78,751,331,420,44.07,1.08,2.24,0.4156,55.26,30.83,6917.45,B,Active,147.58,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,4h,"SL=4.0%, TP=15.0%, TS=3.0%"
53,EMA_Cloud_Strength,"EMA_Cross, Trend_MA50, ADX_Trend",ETHUSDT,4h,10000,40615.72,30615.72,25.28,306.16,441,112,329,25.4,1.08,1.94,0.6642,58.54,0.9,9910.32,B,Active,140.84,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,4h,"SL=2.5%, TP=15.0%, TS=2.0%"
54,Volume_Breakout_Pro,"Volume_Spike, Breakout_20, VWAP",BTCUSDT,4h,10000,39967.02,29967.02,24.96,299.67,396,119,277,30.05,1.1,1.92,0.7068,75.12,0.83,9917.48,B,Active,139.93,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,4h,"SL=3.0%, TP=15.0%, TS=2.5%"
55,Volume_Profile_Breakout,"Volume_Spike, Breakout_20, ADX_Trend",ETHUSDT,4h,10000,38271.46,28271.46,24.09,282.71,852,363,489,42.61,1.04,2.07,0.4467,76.56,40.69,5930.61,B,Active,136.23,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,4h,"SL=4.0%, TP=15.0%, TS=3.0%"
56,Conservative_Growth,"EMA_Cross, ADX_Trend, Trend_MA50, VWAP",BNBUSDT,4h,10000,38040.27,28040.27,23.97,280.4,610,185,425,30.33,1.04,1.93,0.6005,88.02,1.54,9846.04,B,Active,131.61,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,4h,"SL=5.0%, TP=10.0%, TS=2.5%"
57,Conservative_Growth,"EMA_Cross, ADX_Trend, Trend_MA50, VWAP",ETHUSDT,4h,10000,37948.81,27948.81,23.92,279.49,633,189,444,29.86,1.02,1.95,0.5643,78.36,0.9,9910.32,B,Active,131.0,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,4h,"SL=5.0%, TP=10.0%, TS=2.5%"
58,EMA_Rainbow_Stack,"EMA_Cross, Trend_MA50, ADX_Trend, VWAP",BNBUSDT,4h,10000,37309.37,27309.37,23.59,273.09,563,184,379,32.68,1.04,1.9,0.6393,87.33,1.54,9846.04,B,Active,129.42,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,4h,"SL=4.0%, TP=10.0%, TS=3.0%"
59,MACD_Divergence,"MACD_Cross, EMA_Cross, BB_Lower",AVAXUSDT,4h,10000,31877.06,21877.06,23.51,218.77,1011,407,604,40.26,1.03,1.99,0.4177,76.98,69.47,3053.19,B,Active,109.91,Binance Spot,2020-09-22 to 2026-03-20,2020-09-22,2026-03-20,0.1%,4h,"SL=4.0%, TP=15.0%, TS=3.0%"
60,EMA_Rainbow_Stack,"EMA_Cross, Trend_MA50, ADX_Trend, VWAP",SOLUSDT,4h,10000,32581.28,22581.28,23.46,225.81,847,261,586,30.81,1.02,1.96,0.5432,86.13,47.83,5216.85,B,Active,109.78,Binance Spot,2020-08-11 to 2026-03-20,2020-08-11,2026-03-20,0.1%,4h,"SL=4.0%, TP=10.0%, TS=3.0%"
61,Stochastic_Cross_Pro,"Stochastic, MACD_Cross, Trend_MA50",BNBUSDT,4h,10000,37048.96,27048.96,23.45,270.49,1132,366,766,32.33,1.06,2.33,0.3123,64.43,1.25,9874.52,B,Active,128.46,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,4h,"SL=5.0%, TP=15.0%, TS=1.5%"
62,Volume_Breakout_Pro,"Volume_Spike, Breakout_20, VWAP",SOLUSDT,4h,10000,32511.13,22511.13,23.41,225.11,871,262,609,30.08,1.02,1.94,0.531,82.24,44.61,5538.61,B,Active,109.28,Binance Spot,2020-08-11 to 2026-03-20,2020-08-11,2026-03-20,0.1%,4h,"SL=3.0%, TP=15.0%, TS=2.5%"
63,Breakout_Momentum,"Breakout_20, Volume_Spike, MACD_Cross, Supertrend",SOLUSDT,4h,10000,31968.07,21968.07,23.04,219.68,536,100,436,18.66,1.07,1.76,0.6502,66.59,46.47,5352.53,B,Active,104.12,Binance Spot,2020-08-11 to 2026-03-20,2020-08-11,2026-03-20,0.1%,4h,"SL=1.5%, TP=15.0%, TS=2.0%"
64,Trend_Acceleration,"EMA_Cross, ADX_Trend, Volume_Spike, Trend_MA50",ETHUSDT,4h,10000,36178.61,26178.61,22.98,261.79,1065,352,713,33.05,1.05,2.36,0.3168,56.8,0.9,9910.32,B,Active,125.11,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,4h,"SL=1.5%, TP=5.0%, TS=2.0%"
