Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
245,Entry short,2023-11-02 13:30,Short,35181,0.002743,96.501483,0.46,0.47,0.51,0.52,-0.2,-0.21,-34.19,-3.42
246,Exit long,2023-11-04 21:45,Exit Long,34841,0.002766,96.530634,-0.26,-0.27,0,0.00,-0.21,-0.22,-34.45,-3.44
246,Entry long,2023-11-04 21:30,Long,34899,0.002766,96.530634,-0.26,-0.27,0,0.00,-0.21,-0.22,-34.45,-3.44
247,Exit short,2023-11-05 16:00,Exit Short,34964,0.002768,96.498016,-0.38,-0.39,0,0.00,-0.33,-0.34,-34.83,-3.48
247,Entry short,2023-11-05 14:00,Short,34862,0.002768,96.498016,-0.38,-0.39,0,0.00,-0.33,-0.34,-34.83,-3.48
248,Exit long,2023-11-07 18:15,Exit Long,35121,0.002733,96.50223,-0.61,-0.63,0.28,0.29,-0.56,-0.58,-35.44,-3.54
248,Entry long,2023-11-07 18:15,Long,35310,0.002733,96.50223,-0.61,-0.63,0.28,0.29,-0.56,-0.58,-35.44,-3.54
249,Exit short,2023-11-08 16:30,Exit Short,35321,0.002737,96.380718,-0.39,-0.40,0.04,0.04,-0.34,-0.35,-35.83,-3.58
249,Entry short,2023-11-08 15:45,Short,35214,0.002737,96.380718,-0.39,-0.40,0.04,0.04,-0.34,-0.35,-35.83,-3.58
250,Exit short,2023-11-13 00:00,Exit Short,37088,0.002604,96.355812,-0.32,-0.33,0,0.00,-0.27,-0.28,-36.15,-3.61
250,Entry short,2023-11-12 23:45,Short,37003,0.002604,96.355812,-0.32,-0.33,0,0.00,-0.27,-0.28,-36.15,-3.61
251,Exit long,2023-11-19 16:30,Exit Long,36555,0.00263,96.32638,-0.28,-0.29,0,0.00,-0.23,-0.24,-36.43,-3.64
251,Entry long,2023-11-19 16:15,Long,36626,0.00263,96.32638,-0.28,-0.29,0,0.00,-0.23,-0.24,-36.43,-3.64
252,Exit long,2023-11-20 17:00,Exit Long,37242,0.002571,96.276237,-0.62,-0.65,0.49,0.51,-0.58,-0.60,-37.05,-3.71
252,Entry long,2023-11-20 15:00,Long,37447,0.002571,96.276237,-0.62,-0.65,0.49,0.51,-0.58,-0.60,-37.05,-3.71
253,Exit short,2023-11-22 15:15,Exit Short,36470,0.002651,96.218045,-0.56,-0.58,0,0.00,-0.51,-0.53,-37.61,-3.76
253,Entry short,2023-11-22 15:15,Short,36295,0.002651,96.218045,-0.56,-0.58,0,0.00,-0.51,-0.53,-37.61,-3.76
254,Exit long,2023-11-23 09:45,Exit Long,37639,0.002564,96.142308,0.27,0.28,0.32,0.33,-0.17,-0.18,-37.35,-3.73
254,Entry long,2023-11-23 08:45,Long,37497,0.002564,96.142308,0.27,0.28,0.32,0.33,-0.17,-0.18,-37.35,-3.73
255,Exit long,2023-11-24 03:45,Mean Exit,37358,0.00257,96.20538,-0.29,-0.30,0.08,0.08,-0.3,-0.31,-37.64,-3.76
255,Entry long,2023-11-24 01:15,Long,37434,0.00257,96.20538,-0.29,-0.30,0.08,0.08,-0.3,-0.31,-37.64,-3.76
256,Exit long,2023-11-25 20:00,Exit Long,37870,0.002545,96.21118,0.07,0.07,0.12,0.12,-0.12,-0.12,-37.56,-3.76
256,Entry long,2023-11-25 17:15,Long,37804,0.002545,96.21118,0.07,0.07,0.12,0.12,-0.12,-0.12,-37.56,-3.76
257,Exit long,2023-11-29 08:45,Exit Long,38369,0.002518,96.172492,0.34,0.36,0.39,0.41,-0.35,-0.36,-37.22,-3.72
