Rank,Strategy,Asset,Timeframe,Initial_Capital_USD,Final_Capital_USD,Net_Profit_USD,roi,ROI/annum,ROI_per_annum_Percent,Total_Trades,Winning_Trades,Losing_Trades,Win_Rate_Percent,Profit_Factor,Sharpe_Ratio,Avg_Trade_Percent,Max_Drawdown,Performance_Grade,Deployment_Status,Data_Source,Time_period_checked,Time_start,time_end,fees_exchnage,Parameters,Candle_Period
2677,RSI_Bounce,XRPUSDT,4h,10000,8187.73,-1812.27,-18.12,-18.12,-18.12,62,13,49,20.97,0.81,4.2,-0.24,,C,Inactive,Historical_Parquet,365 days,1759420800,1773806400,Entry:0.01% + Exit:0.01%,"SL:0.008, TP:0.06, TS:0.008",4h
2678,VWAP_Reversal,XRPUSDT,4h,10000,8187.73,-1812.27,-18.12,-18.12,-18.12,62,13,49,20.97,0.81,4.2,-0.24,,C,Inactive,Historical_Parquet,365 days,1759420800,1773806400,Entry:0.01% + Exit:0.01%,"SL:0.008, TP:0.06, TS:0.008",4h
2679,BB_Squeeze_Pro,XRPUSDT,4h,10000,8187.73,-1812.27,-18.12,-18.12,-18.12,62,13,49,20.97,0.81,4.2,-0.24,,C,Inactive,Historical_Parquet,365 days,1759420800,1773806400,Entry:0.01% + Exit:0.01%,"SL:0.008, TP:0.06, TS:0.008",4h
2680,Support_Bounce,XRPUSDT,4h,10000,8187.73,-1812.27,-18.12,-18.12,-18.12,62,13,49,20.97,0.81,4.2,-0.24,,C,Inactive,Historical_Parquet,365 days,1759420800,1773806400,Entry:0.01% + Exit:0.01%,"SL:0.008, TP:0.06, TS:0.008",4h
2681,VWAP_Support_Level,XRPUSDT,4h,10000,8187.73,-1812.27,-18.12,-18.12,-18.12,62,13,49,20.97,0.81,4.2,-0.24,,C,Inactive,Historical_Parquet,365 days,1759420800,1773806400,Entry:0.01% + Exit:0.01%,"SL:0.008, TP:0.06, TS:0.008",4h
2682,Supertrend_Alpha,BTCUSDT,1h,10000,8185.31,-1814.69,-18.15,-1814.69,-1814.69,105,18,87,17.14,0.9,4.35,-0.09,49.28,C,Inactive,Historical_Parquet,364 days,16-03-2025,16-03-2026,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",1h
2683,Supertrend_Volume,BTCUSDT,1h,10000,8185.31,-1814.69,-18.15,-1814.69,-1814.69,105,18,87,17.14,0.9,4.35,-0.09,49.28,C,Inactive,Historical_Parquet,364 days,16-03-2025,16-03-2026,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",1h
2684,Volume_EMA_Stochastic_ADX,XRPUSDT,4h,10000,8171.84,-1828.16,-18.28,-18.28,-18.28,32,5,27,15.62,0.7,5.31,-0.51,,C,Inactive,Historical_Parquet,365 days,1759420800,1773806400,Entry:0.01% + Exit:0.01%,"SL:0.018, TP:0.1, TS:0.018",4h
2685,Stochastic_Pro,BTCUSDT,15m,10000,8161.66,-1838.34,-18.38,-1838.34,-1838.34,87,12,75,13.79,0.85,4.2,-0.14,45.9,C,Inactive,Historical_Parquet,365 days,16-03-2025,16-03-2026,Entry:0.01% + Exit:0.01%,"SL:0.01, TP:0.07, TS:0.01",15m
2686,VWAP_EMA_Strength,BTCUSDT,1h,10000,8160.6,-1839.4,-18.39,-1839.4,-1839.4,104,18,86,17.31,0.9,4.38,-0.1,50.44,C,Inactive,Historical_Parquet,364 days,16-03-2025,16-03-2026,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",1h
